run_group,scenario,scenario_label,parameter,parameter_value,replicate,seed,run_tag,run_dir,master_csv,duration_sec,status,error
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,1.25,0,124680,Ep1250_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1250_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1250_TG_r0_ce_strong\MASTER_metrics.csv,124.54561309999553,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,1.5,0,124680,Ep1500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1500_TG_r0_ce_strong\MASTER_metrics.csv,118.06895089999307,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,0.5,0,124680,Rp500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp500_TG_r0_ce_strong\MASTER_metrics.csv,117.86639440001454,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,0.75,0,124680,Rp750_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp750_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp750_TG_r0_ce_strong\MASTER_metrics.csv,123.19789709997713,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,1.0,0,124680,Rp1000_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1000_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1000_TG_r0_ce_strong\MASTER_metrics.csv,118.05673199999728,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,1.25,0,124680,Rp1250_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1250_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1250_TG_r0_ce_strong\MASTER_metrics.csv,120.82433010000386,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,barrier_sensitivity_scale,1.5,0,124680,Rp1500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1500_TG_r0_ce_strong\MASTER_metrics.csv,121.10339830000885,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,0.0,0,124680,Hz_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hz_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hz_TG_r0_ce_strong\MASTER_metrics.csv,118.79121009999653,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,0.5,0,124680,Hp500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp500_TG_r0_ce_strong\MASTER_metrics.csv,125.02039739998872,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,1.0,0,124680,Hp1000_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1000_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Hp1000_TG_r0_ce_strong\MASTER_metrics.csv,122.05091960000573,ok,
