run_group,check_rep,scenario,metric,n,mean,sd,ci95_half_width,relative_half_width,passed,criterion
r20260612_134238,30,ce_off,D_adv_exposure,30,0.029972317817712903,0.00043790424055342806,0.0001567020199778103,0.005228224955135211,True,rel_hw<=0.05
r20260612_134238,30,ce_off,D_resources,30,0.028400539999061735,0.010823978394191249,0.0038733109239187666,0.13638159429527497,False,rel_hw<=0.05
r20260612_134238,30,ce_off,MEAN_RESOURCES,30,1.0293820196596928,0.011308046624381162,0.004046532515429224,0.003931030888578161,True,rel_hw<=0.05
r20260612_134238,30,ce_light,MEAN_LOCAL_CE_ACTIVATION,30,0.025738698713172213,0.012399893437490843,0.00443724487963102,0.1723958514406241,False,rel_hw<=0.05
r20260612_134238,30,ce_light,CEI_SIM,30,0.5631041097021151,0.0037049545964982222,0.0013258009752625576,0.002354450895348487,True,rel_hw<=0.05
r20260612_134238,30,ce_light,UNEMPLOYMENT,30,0.09155343835446826,5.557431894747277e-05,1.988701462893816e-05,0.00021721756152883555,True,rel_hw<=0.05
r20260612_134238,30,ce_light,D_adv_exposure,30,0.17782199301737486,0.008826520312931452,0.003158529729384475,0.017762312050320216,True,rel_hw<=0.05
r20260612_134238,30,ce_light,D_resources,30,0.1479447822898483,0.017391861746660367,0.006223597797162626,0.04206703136694316,True,rel_hw<=0.05
r20260612_134238,30,ce_light,MEAN_RESOURCES,30,1.1748088100841723,0.023989937834508035,0.008584689002003034,0.007307307306784635,True,rel_hw<=0.05
r20260612_134238,30,baseline,MEAN_LOCAL_CE_ACTIVATION,30,0.018762914890848602,0.000734080530956989,0.00026268734434260136,0.014000348339837331,True,rel_hw<=0.05
r20260612_134238,30,baseline,CEI_SIM,30,0.6188073907419871,0.001596365996386152,0.0005712522352865385,0.0009231503111195437,True,rel_hw<=0.05
