metric,scenario,scenario_label,n_runs,last_window,last_mean,last_sd,last_ci95_low,last_ci95_high,last_median,last_min,last_max,delta_convention,delta_mean,delta_sd,delta_ci95_low,delta_ci95_high,delta_median,delta_min,delta_max
MOVE_COUNT_M,ce_light,Light CE,100,24,118.01875000000001,16.27583349193469,114.82868663558081,121.20881336441921,116.125,79.58333333333333,154.5,final_minus_initial,-116.61,24.56485746391015,-121.42471206292639,-111.79528793707361,-116.5,-159.0,-35.0
MOVE_COUNT_M,baseline,Baseline CE,100,24,99.99124999999998,2.4302510270986013,99.51492079868865,100.46757920131131,99.83333333333333,90.25,107.0,final_minus_initial,-148.15,16.9183272807863,-151.46599214703411,-144.8340078529659,-149.5,-185.0,-96.0
MOVE_COUNT_M,ce_strong,Targeted CE expansion,100,24,90.09791666666666,9.87919343508821,88.16159475338938,92.03423857994395,90.875,65.16666666666667,107.91666666666667,final_minus_initial,-152.37,23.01587287157287,-156.88111108282828,-147.85888891717173,-149.5,-208.0,-100.0
MOVE_RATE_M,ce_off,Linear reference,100,24,0.04431385416666666,0.000800613233362605,0.04415693397292759,0.04447077436040573,0.04429166666666667,0.04235416666666667,0.0458125,final_minus_initial,-0.016550000000000002,0.005109409027085286,-0.01755144416930872,-0.015548555830691287,-0.017375,-0.028250000000000004,0.002249999999999995
MOVE_RATE_M,ce_light,Light CE,100,24,0.029504687499999998,0.004068958372983673,0.0287071716588952,0.030302203341104797,0.029031249999999998,0.01989583333333333,0.038625,final_minus_initial,-0.029152500000000005,0.006141214365977539,-0.0303561780157316,-0.02794882198426841,-0.029125,-0.03975,-0.00875
MOVE_RATE_M,baseline,Baseline CE,100,24,0.024997812500000008,0.00060756275677465,0.024878730199672176,0.02511689480032784,0.024958333333333332,0.022562500000000003,0.02675,final_minus_initial,-0.0370375,0.004229581820196575,-0.03786649803675853,-0.03620850196324147,-0.037375000000000005,-0.046250000000000006,-0.023999999999999997
MOVE_RATE_M,ce_strong,Targeted CE expansion,100,24,0.022524479166666663,0.002469798358772053,0.02204039868834734,0.023008559644985986,0.02271875,0.016291666666666666,0.026979166666666665,final_minus_initial,-0.0380925,0.005753968217893217,-0.03922027777070707,-0.03696472222929293,-0.037375000000000005,-0.052000000000000005,-0.024999999999999998
N_HOUSEHOLDS,ce_off,Linear reference,100,24,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_HOUSEHOLDS,ce_light,Light CE,100,24,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_HOUSEHOLDS,baseline,Baseline CE,100,24,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_HOUSEHOLDS,ce_strong,Targeted CE expansion,100,24,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
